202052	202042	202089
202003	202104	202106
202002	202106	202104
202020	202013	202050
202038	202065	202101
202016	202012	202072
202023	202049	202062
202044	202059	202048
202051	202108	202084
202099	202043	202046
202016	202072	202034
202050	202041	202020
202081	202013	202030
202035	202101	202088
202012	202006	202040
202048	202061	202068
202080	202089	202077
202066	202030	202033
202041	202097	202013
202080	202051	202056
202032	202085	202086
202007	202049	202062
202085	202022	202108
202076	202071	202012
202067	202062	202105
202065	202094	202059
202031	202010	202038
202084	202056	202024
202066	202019	202081
202028	202073	202038
202096	202022	202086
202076	202030	202019
202072	202012	202003
202073	202091	202063
202108	202053	202057
202106	202045	202042
202101	202028	202031
202097	202068	202020
202109	202082	202057
202097	202020	202013
202043	202052	202037
202042	202028	202011
202008	202059	202004
202106	202037	202099
202101	202013	202014
202081	202002	202101
202058	202017	202068
202089	202062	202069
202013	202074	202020
202010	202108	202021
202003	202081	202042
202036	202051	202108
202065	202026	202067
202084	202085	202021
202036	202040	202109
202048	202064	202074
202044	202008	202065
202077	202098	202095
202017	202071	202070
202089	202026	202049
202091	202073	202035
202074	202058	202069
202054	202094	202059
202019	202030	202033
202026	202062	202054
202048	202107	202017
202064	202076	202049
202061	202017	202071
202061	202076	202025
202034	202012	202003
202035	202063	202091
202064	202050	202058
202035	202030	202047
202025	202058	202033
202060	202095	202098
202104	202002	202106
202107	202092	202039
202021	202062	202018
202047	202014	202030
202040	202063	202092
202025	202007	202012
202056	202010	202051
202108	202022	202024
202022	202032	202069
202095	202077	202092
202073	202035	202063
202062	202049	202080
202078	202104	202033
202063	202035	202073
202095	202082	202109
202026	202105	202028
202065	202021	202024
202087	202077	202092
202032	202022	202088
202041	202020	202039
202077	202060	202021
202011	202067	202054
202043	202075	202029
202038	202046	202047
202012	202006	202083
202002	202078	202003
202026	202093	202062
202002	202003	202045
202068	202071	202033
202051	202036	202085
202040	202057	202053
